microbe,status
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium,kept
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Incertae_Sedis,kept
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus,kept
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Subdoligranulum,kept
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__UBA1819,kept
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f___Eubacterium__coprostanoligenes_group;g___Eubacterium__coprostanoligenes_group,kept
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae;g__Family_XIII_AD3011_group,kept
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae;g__Clostridioides,kept
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae;g__Intestinibacter,kept
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae;g__Peptostreptococcus,kept
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae;g__Romboutsia,kept
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcales-Tissierellales;g__Anaerococcus,kept
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcales-Tissierellales;g__Finegoldia,kept
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcales-Tissierellales;g__Peptoniphilus,kept
d__Bacteria;p__Firmicutes;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium,kept
d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Veillonellaceae;g__Dialister,kept
d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Veillonellaceae;g__Megasphaera,kept
d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Veillonellaceae;g__Negativicoccus,kept
d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Veillonellaceae;g__Veillonella,kept
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Sutterellaceae;g__Parasutterella,kept
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Sutterellaceae;g__Sutterella,kept
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;__,kept
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia-Shigella,kept
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Haemophilus,kept
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia,kept
k__Archaea;_p__Euryarchaeota;_c__Methanobacteria;_o__Methanobacteriales;_f__Methanobacteriaceae;_g__Methanobrevibacter;_s__,kept
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__,kept
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanosphaera;s__,kept
k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__E2;f___Methanomassiliicoccaceae_;g__;s__,kept
k__Bacteria,kept
k__Bacteria.1,kept
k__Bacteria.10,kept
k__Bacteria.100,kept
k__Bacteria.101,kept
k__Bacteria.102,kept
k__Bacteria.103,kept
k__Bacteria.104,kept
k__Bacteria.105,kept
k__Bacteria.106,kept
k__Bacteria.107,kept
k__Bacteria.108,kept
k__Bacteria.109,kept
k__Bacteria.11,kept
k__Bacteria.110,kept
k__Bacteria.111,kept
k__Bacteria.112,kept
k__Bacteria.113,kept
k__Bacteria.114,kept
k__Bacteria.115,kept
k__Bacteria.116,kept
k__Bacteria.117,kept
k__Bacteria.118,kept
k__Bacteria.119,kept
k__Bacteria.12,kept
k__Bacteria.120,kept
k__Bacteria.121,kept
k__Bacteria.122,kept
k__Bacteria.123,kept
k__Bacteria.124,kept
k__Bacteria.125,kept
k__Bacteria.126,kept
k__Bacteria.127,kept
k__Bacteria.128,kept
k__Bacteria.129,kept
k__Bacteria.13,kept
k__Bacteria.130,kept
k__Bacteria.14,kept
k__Bacteria.15,kept
k__Bacteria.16,kept
k__Bacteria.17,kept
k__Bacteria.18,kept
k__Bacteria.19,kept
k__Bacteria.2,kept
k__Bacteria.20,kept
k__Bacteria.21,kept
k__Bacteria.22,kept
k__Bacteria.23,kept
k__Bacteria.24,kept
k__Bacteria.25,kept
k__Bacteria.26,kept
k__Bacteria.27,kept
k__Bacteria.28,kept
k__Bacteria.29,kept
k__Bacteria.3,kept
k__Bacteria.30,kept
k__Bacteria.31,kept
k__Bacteria.32,kept
k__Bacteria.33,kept
k__Bacteria.34,kept
k__Bacteria.35,kept
k__Bacteria.36,kept
k__Bacteria.37,kept
k__Bacteria.38,kept
k__Bacteria.39,kept
k__Bacteria.4,kept
k__Bacteria.40,kept
k__Bacteria.41,kept
k__Bacteria.42,kept
k__Bacteria.43,kept
k__Bacteria.44,kept
k__Bacteria.45,kept
k__Bacteria.46,kept
k__Bacteria.47,kept
k__Bacteria.48,kept
k__Bacteria.49,kept
k__Bacteria.5,kept
k__Bacteria.50,kept
k__Bacteria.51,kept
k__Bacteria.52,kept
k__Bacteria.53,kept
k__Bacteria.54,kept
k__Bacteria.55,kept
k__Bacteria.56,kept
k__Bacteria.57,kept
k__Bacteria.58,kept
k__Bacteria.59,kept
k__Bacteria.6,kept
k__Bacteria.60,kept
k__Bacteria.61,kept
k__Bacteria.62,kept
k__Bacteria.63,kept
k__Bacteria.65,kept
k__Bacteria.66,kept
k__Bacteria.67,kept
k__Bacteria.68,kept
k__Bacteria.69,kept
k__Bacteria.7,kept
k__Bacteria.70,kept
k__Bacteria.71,kept
k__Bacteria.72,kept
k__Bacteria.73,kept
k__Bacteria.74,kept
k__Bacteria.75,kept
k__Bacteria.76,kept
k__Bacteria.77,kept
k__Bacteria.78,kept
k__Bacteria.79,kept
k__Bacteria.8,kept
k__Bacteria.80,kept
k__Bacteria.81,kept
k__Bacteria.82,kept
k__Bacteria.83,kept
k__Bacteria.84,kept
k__Bacteria.85,kept
k__Bacteria.86,kept
k__Bacteria.87,kept
k__Bacteria.88,kept
k__Bacteria.89,kept
k__Bacteria.9,kept
k__Bacteria.90,kept
k__Bacteria.91,kept
k__Bacteria.92,kept
k__Bacteria.93,kept
k__Bacteria.94,kept
k__Bacteria.95,kept
k__Bacteria.96,kept
k__Bacteria.97,kept
k__Bacteria.98,kept
k__Bacteria.99,kept
k__Bacteria;_p__Actinobacteria;_c__Actinobacteria;_o__Actinomycetales,kept
k__Bacteria;_p__Actinobacteria;_c__Actinobacteria;_o__Actinomycetales;_f__Actinomycetaceae;_g__Actinomyces;_s__,kept
k__Bacteria;_p__Actinobacteria;_c__Actinobacteria;_o__Actinomycetales;_f__Actinomycetaceae;_g__Actinomyces;_s__.1,kept
k__Bacteria;_p__Actinobacteria;_c__Actinobacteria;_o__Actinomycetales;_f__Actinomycetaceae;_g__Actinomyces;_s__.2,kept
k__Bacteria;_p__Actinobacteria;_c__Actinobacteria;_o__Actinomycetales;_f__Actinomycetaceae;_g__Actinomyces;_s__.3,kept
k__Bacteria;_p__Actinobacteria;_c__Actinobacteria;_o__Actinomycetales;_f__Actinomycetaceae;_g__Varibaculum;_s__,kept
k__Bacteria;_p__Actinobacteria;_c__Actinobacteria;_o__Actinomycetales;_f__Corynebacteriaceae;_g__Corynebacterium,kept
k__Bacteria;_p__Actinobacteria;_c__Actinobacteria;_o__Actinomycetales;_f__Corynebacteriaceae;_g__Corynebacterium;_s__,kept
k__Bacteria;_p__Actinobacteria;_c__Actinobacteria;_o__Actinomycetales;_f__Microbacteriaceae,kept
k__Bacteria;_p__Actinobacteria;_c__Actinobacteria;_o__Actinomycetales;_f__Micrococcaceae;_g__Rothia,kept
k__Bacteria;_p__Actinobacteria;_c__Actinobacteria;_o__Actinomycetales;_f__Micrococcaceae;_g__Rothia;_s__mucilaginosa,kept
k__Bacteria;_p__Actinobacteria;_c__Actinobacteria;_o__Actinomycetales;_f__Micrococcaceae;_g__Rothia;_s__mucilaginosa.1,kept
k__Bacteria;_p__Actinobacteria;_c__Actinobacteria;_o__Bifidobacteriales;_f__Bifidobacteriaceae;_g__Bifidobacterium,kept
k__Bacteria;_p__Actinobacteria;_c__Actinobacteria;_o__Bifidobacteriales;_f__Bifidobacteriaceae;_g__Bifidobacterium.1,kept
k__Bacteria;_p__Actinobacteria;_c__Actinobacteria;_o__Bifidobacteriales;_f__Bifidobacteriaceae;_g__Bifidobacterium;_s__,kept
k__Bacteria;_p__Actinobacteria;_c__Actinobacteria;_o__Bifidobacteriales;_f__Bifidobacteriaceae;_g__Bifidobacterium;_s__adolescentis,kept
k__Bacteria;_p__Actinobacteria;_c__Actinobacteria;_o__Bifidobacteriales;_f__Bifidobacteriaceae;_g__Bifidobacterium;_s__bifidum,kept
k__Bacteria;_p__Actinobacteria;_c__Actinobacteria;_o__Bifidobacteriales;_f__Bifidobacteriaceae;_g__Bifidobacterium;_s__longum,kept
k__Bacteria;_p__Actinobacteria;_c__Actinobacteria;_o__Bifidobacteriales;_f__Bifidobacteriaceae;_g__Scardovia;_s__,kept
k__Bacteria;_p__Actinobacteria;_c__Coriobacteriia;_o__Coriobacteriales;_f__Coriobacteriaceae,kept
k__Bacteria;_p__Actinobacteria;_c__Coriobacteriia;_o__Coriobacteriales;_f__Coriobacteriaceae.1,kept
k__Bacteria;_p__Actinobacteria;_c__Coriobacteriia;_o__Coriobacteriales;_f__Coriobacteriaceae;_g__;_s__,kept
k__Bacteria;_p__Actinobacteria;_c__Coriobacteriia;_o__Coriobacteriales;_f__Coriobacteriaceae;_g__;_s__.1,kept
k__Bacteria;_p__Actinobacteria;_c__Coriobacteriia;_o__Coriobacteriales;_f__Coriobacteriaceae;_g__;_s__.2,kept
k__Bacteria;_p__Actinobacteria;_c__Coriobacteriia;_o__Coriobacteriales;_f__Coriobacteriaceae;_g__;_s__.3,kept
k__Bacteria;_p__Actinobacteria;_c__Coriobacteriia;_o__Coriobacteriales;_f__Coriobacteriaceae;_g__;_s__.4,kept
k__Bacteria;_p__Actinobacteria;_c__Coriobacteriia;_o__Coriobacteriales;_f__Coriobacteriaceae;_g__Adlercreutzia;_s__,kept
