metric,logistic_coef,rf_importance,lr_norm,rf_norm,mean_importance
cv_across_datasets,4.672407948554261,0.6363637633911889,0.4582396570919447,0.6363637633905526,0.5473017102412486
sparsity,2.6524334304437174,0.2263322699051571,0.2601335754515667,0.22633226990493074,0.2432329226782487
prevalence_datasets,2.6536921175977373,0.11250063371862407,0.2602570193751698,0.11250063371851156,0.18637882654684068
mean_nonzero_abund,0.19801415191815314,0.022601804819899964,0.01941995178362003,0.02260180481987736,0.021010878301748696
mean_MI_with_target,0.01988095874719013,0.0022015281651300263,0.0019497962976007693,0.0022015281651278245,0.002075662231364297
