metric,logistic_coef,rf_importance,lr_norm,rf_norm,mean_importance,lr_auc_mean,lr_auc_std,rf_auc_mean,rf_auc_std
prevalence_datasets,12.662628868591238,0.5183893894497837,0.8426198399828239,0.5183893894492653,0.6805046147160445,0.9996546758714902,0.0005801116066373955,1.0,4.965068306494546e-17
cv_across_datasets,1.682818090494495,0.3629429708779054,0.11198116322036905,0.3629429708775424,0.23746206704895573,0.9996546758714902,0.0005801116066373955,1.0,4.965068306494546e-17
nonzero_fraction,0.6116646333189167,0.10641674806123795,0.040702508207340234,0.10641674806113152,0.07355962813423587,0.9996546758714902,0.0005801116066373955,1.0,4.965068306494546e-17
mean_nonzero_abund,0.05545538381474136,0.01192346364576763,0.003690213708471587,0.011923463645755706,0.007806838677113646,0.9996546758714902,0.0005801116066373955,1.0,4.965068306494546e-17
mean_MI_with_target,0.015121985921013551,0.00032742796530523704,0.0010062748809287778,0.00032742796530490955,0.0006668514231168436,0.9996546758714902,0.0005801116066373955,1.0,4.965068306494546e-17
