train_dataset,test_dataset,n_common_features,overlap_pct,auc,accuracy,precision,recall,f1
PRJEB23052,PRJNA451479,584,68.86792452830188,0.7838888888888889,0.6166666666666667,0.5660377358490566,1.0,0.7228915662650602
PRJEB23052,PRJNA516054,611,65.27777777777779,0.42294372294372296,0.7236842105263158,0.7236842105263158,1.0,0.8396946564885496
PRJEB23052,PRJNA686821,643,67.89862724392819,0.573125,0.5789473684210527,0.5714285714285714,1.0,0.7272727272727273
PRJNA451479,PRJEB23052,584,68.86792452830188,0.9287321830457614,0.9054054054054054,0.9285714285714286,0.9069767441860465,0.9176470588235294
PRJNA451479,PRJNA516054,596,66.89113355780022,0.43722943722943725,0.618421052631579,0.7241379310344828,0.7636363636363637,0.7433628318584071
PRJNA451479,PRJNA686821,552,56.44171779141104,0.708125,0.6140350877192983,0.5925925925925926,1.0,0.7441860465116279
PRJNA516054,PRJEB23052,611,65.27777777777779,0.563390847711928,0.5945945945945946,0.589041095890411,1.0,0.7413793103448276
PRJNA516054,PRJNA451479,596,66.89113355780022,0.5211111111111111,0.5,0.5,1.0,0.6666666666666666
PRJNA516054,PRJNA686821,605,58.17307692307693,0.526875,0.6140350877192983,0.5925925925925926,1.0,0.7441860465116279
PRJNA686821,PRJEB23052,643,67.89862724392819,0.5502625656414104,0.6081081081081081,0.5972222222222222,1.0,0.7478260869565218
PRJNA686821,PRJNA451479,552,56.44171779141104,0.6011111111111112,0.5,0.5,1.0,0.6666666666666666
PRJNA686821,PRJNA516054,605,58.17307692307693,0.4965367965367965,0.7236842105263158,0.7236842105263158,1.0,0.8396946564885496
