test_dataset,train_datasets,n_common_features,auc,accuracy,precision,recall,f1
PRJEB23052,"PRJNA451479,PRJNA516054,PRJNA686821",481,0.6061515378844712,0.6216216216216216,0.6271186440677966,0.8604651162790697,0.7254901960784313
PRJNA451479,"PRJEB23052,PRJNA516054,PRJNA686821",481,0.7077777777777777,0.5833333333333334,0.5471698113207547,0.9666666666666667,0.6987951807228916
PRJNA516054,"PRJEB23052,PRJNA451479,PRJNA686821",481,0.5861471861471861,0.6710526315789473,0.7419354838709677,0.8363636363636363,0.7863247863247863
PRJNA686821,"PRJEB23052,PRJNA451479,PRJNA516054",481,0.70625,0.5614035087719298,0.5614035087719298,1.0,0.7191011235955056
