train_dataset,test_dataset,n_common_features,overlap_pct,auc,accuracy,precision,recall,f1
PRJNA417357 COPSAC_T1year,PRJNA273694 SKOT2_T1year,45,100.0,0.5194444444444445,0.660377358490566,0.0,0.0,0.0
PRJNA417357 COPSAC_T1year,PRJNA296814 NHBCS_T1year,45,100.0,0.5405588714053173,0.7185185185185186,0.0,0.0,0.0
PRJNA417357 COPSAC_T1year,PRJNA510423 ABIS_T1year,45,100.0,0.5732894100580271,0.7994987468671679,0.13333333333333333,0.1276595744680851,0.13043478260869565
PRJNA417357 COPSAC_T1year,SRP152384 OULU_T1year,45,100.0,0.5994297933000713,0.7261904761904762,0.0,0.0,0.0
PRJNA510423 ABIS_T1year,ERP111347 NOMIC_T1year,45,100.0,0.5259923804842079,0.6970588235294117,0.0,0.0,0.0
PRJNA510423 ABIS_T1year,PRJEB48451 JORVI_T1year,45,100.0,0.6403846153846154,0.8387096774193549,0.0,0.0,0.0
PRJNA510423 ABIS_T1year,PRJNA273694 SKOT1_T1year,45,100.0,0.5119949494949495,0.8608695652173913,0.0,0.0,0.0
PRJNA510423 ABIS_T1year,PRJNA273694 SKOT2_T1year,45,100.0,0.6666666666666666,0.660377358490566,0.0,0.0,0.0
PRJNA510423 ABIS_T1year,PRJNA296814 NHBCS_T1year,45,100.0,0.5317417254476396,0.7185185185185186,0.0,0.0,0.0
PRJNA510423 ABIS_T1year,PRJNA417357 COPSAC_T1year,45,100.0,0.5543912175648702,0.7900943396226415,1.0,0.011111111111111112,0.02197802197802198
PRJNA510423 ABIS_T1year,SRP152384 OULU_T1year,45,100.0,0.6222380612972203,0.7261904761904762,0.0,0.0,0.0
SRP152384 OULU_T1year,ERP111347 NOMIC_T1year,45,100.0,0.5036868624800295,0.6970588235294117,0.0,0.0,0.0
SRP152384 OULU_T1year,PRJEB48451 JORVI_T1year,45,100.0,0.6615384615384615,0.8387096774193549,0.0,0.0,0.0
SRP152384 OULU_T1year,PRJNA273694 SKOT1_T1year,45,100.0,0.5634469696969697,0.8347826086956521,0.0,0.0,0.0
SRP152384 OULU_T1year,PRJNA273694 SKOT2_T1year,45,100.0,0.5984126984126984,0.660377358490566,0.0,0.0,0.0
SRP152384 OULU_T1year,PRJNA296814 NHBCS_T1year,45,100.0,0.5377102550189908,0.7185185185185186,0.0,0.0,0.0
SRP152384 OULU_T1year,PRJNA417357 COPSAC_T1year,45,100.0,0.5219893546240851,0.7877358490566038,0.0,0.0,0.0
SRP152384 OULU_T1year,PRJNA510423 ABIS_T1year,45,100.0,0.5660964700193424,0.8671679197994987,0.125,0.02127659574468085,0.03636363636363636
