percentile,n_kept,n_total,pct_kept
0.05,69,1376,5.0145348837209305
0.1,137,1376,9.956395348837209
0.15,205,1376,14.898255813953488
0.2,273,1376,19.84011627906977
0.25,341,1376,24.781976744186046
0.3,409,1376,29.723837209302324
0.35,477,1376,34.6656976744186
0.4,545,1376,39.60755813953488
0.45,613,1376,44.549418604651166
0.5,681,1376,49.491279069767444
0.55,749,1376,54.43313953488372
0.6,817,1376,59.375
0.65,885,1376,64.31686046511628
0.7,952,1376,69.18604651162791
0.75,1027,1376,74.63662790697674
0.8,1092,1376,79.36046511627907
0.85,1197,1376,86.99127906976744
0.9,1361,1376,98.90988372093024
0.95,1361,1376,98.90988372093024
