percentile,protocol,mean_auc,std_auc,n_phenotypes
0.05,LODO,0.6920079914289403,0.16879981110650474,4
0.05,Internal Validation,0.7997837413455038,0.1881850104437175,4
0.05,Within Learning,0.8358234372553258,0.1699494378087727,4
0.1,LODO,0.7444008055073439,0.15185516372275631,4
0.1,Internal Validation,0.8461442649749938,0.13147319508508004,4
0.1,Within Learning,0.8315427613608728,0.17368449592304958,4
0.15,LODO,0.7788408014999793,0.13573051444758827,4
0.15,Internal Validation,0.8669810974794734,0.10093052875453691,4
0.15,Within Learning,0.8379472694488175,0.1831255272609243,4
0.2,LODO,0.7948811933515031,0.13642379289312698,4
0.2,Internal Validation,0.8788430554969943,0.0848527006878583,4
0.2,Within Learning,0.8730589091850702,0.15181050235098048,4
0.25,LODO,0.7897122762819797,0.14132737554436686,4
0.25,Internal Validation,0.8765957234307268,0.08708794889123875,4
0.25,Within Learning,0.8699649335872246,0.16237527532695126,4
0.3,LODO,0.7888537789661058,0.13577691732794747,4
0.3,Internal Validation,0.8842525441893725,0.08373305068788418,4
0.3,Within Learning,0.876514933867875,0.1430126736277993,4
0.35,LODO,0.7920660131929045,0.1374184839170515,4
0.35,Internal Validation,0.8850777915178735,0.08413939025712162,4
0.35,Within Learning,0.8842681133509306,0.14612764710939655,4
0.4,LODO,0.7836776406484093,0.14139504566280134,4
0.4,Internal Validation,0.8827762400854317,0.0853688478539749,4
0.4,Within Learning,0.8714946538669449,0.1577944392187994,4
0.45,LODO,0.7848336323663677,0.13638629433753352,4
0.45,Internal Validation,0.8819303354787176,0.08046133402861341,4
0.45,Within Learning,0.882235982971277,0.15191276432209858,4
0.5,LODO,0.7812863975675146,0.1372187532137043,4
0.5,Internal Validation,0.8792870967863903,0.08506372942286944,4
0.5,Within Learning,0.8750642267089637,0.15521584563591043,4
0.55,LODO,0.7866980057068378,0.13829503389245001,4
0.55,Internal Validation,0.8815899224708055,0.0849569237649659,4
0.55,Within Learning,0.8658478969430982,0.1560821100403329,4
0.6,LODO,0.7817125894759592,0.133041172569726,4
0.6,Internal Validation,0.8856119764169876,0.08320209974626465,4
0.6,Within Learning,0.8791353512328745,0.1448054090966336,4
0.65,LODO,0.7808859145313689,0.13758468203986982,4
0.65,Internal Validation,0.8787468651066442,0.08592431336444778,4
0.65,Within Learning,0.8747014359049963,0.1525720309738806,4
0.7,LODO,0.7862599863695396,0.13518635653383768,4
0.7,Internal Validation,0.8801768388688429,0.0827545780436789,4
0.7,Within Learning,0.8711125024786016,0.15126313439116984,4
0.75,LODO,0.7888316118340456,0.13669193722309095,4
0.75,Internal Validation,0.8872101672734879,0.08103745646800183,4
0.75,Within Learning,0.8679774366500373,0.15182795953067277,4
0.8,LODO,0.7918147352295183,0.13433377158790102,4
0.8,Internal Validation,0.8842836861388585,0.08031176951465865,4
0.8,Within Learning,0.8755609350230094,0.14891230866055633,4
0.85,LODO,0.7855386926071594,0.13545717308228064,4
0.85,Internal Validation,0.8849339754754268,0.08351676404058234,4
0.85,Within Learning,0.8745027826490676,0.1537350039026262,4
0.9,LODO,0.7855386926071594,0.13545717308228064,4
0.9,Internal Validation,0.8849339754754268,0.08351676404058234,4
0.9,Within Learning,0.8745027826490676,0.1537350039026262,4
0.95,LODO,0.7855386926071594,0.13545717308228064,4
0.95,Internal Validation,0.8849339754754268,0.08351676404058234,4
0.95,Within Learning,0.8745027826490676,0.1537350039026262,4
