percentile,n_kept,n_total,pct_kept
0.05,39,796,4.899497487437186
0.1,77,796,9.673366834170855
0.15,115,796,14.447236180904522
0.2,154,796,19.34673366834171
0.25,192,796,24.12060301507538
0.3,230,796,28.894472361809044
0.35,269,796,33.79396984924623
0.4,307,796,38.5678391959799
0.45,345,796,43.34170854271357
0.5,384,796,48.24120603015076
0.55,422,796,53.015075376884425
0.6,555,796,69.72361809045226
0.65,555,796,69.72361809045226
0.7,555,796,69.72361809045226
0.75,658,796,82.66331658291458
0.8,658,796,82.66331658291458
0.85,658,796,82.66331658291458
0.9,741,796,93.09045226130654
0.95,741,796,93.09045226130654
