test_dataset,train_datasets,n_common_features,auc,accuracy,precision,recall,f1
PRJEB10878,"PRJEB12449,PRJEB27928,PRJEB6070,PRJEB7774,PRJNA447983",1803,0.8866366366366367,0.7734375,0.7272727272727273,0.972972972972973,0.8323699421965318
PRJEB12449,"PRJEB10878,PRJEB27928,PRJEB6070,PRJEB7774,PRJNA447983",1803,0.7572944297082228,0.6272727272727273,0.5846153846153846,0.7307692307692307,0.6495726495726496
PRJEB27928,"PRJEB10878,PRJEB12449,PRJEB6070,PRJEB7774,PRJNA447983",1803,0.8694871794871796,0.768,0.7183098591549296,0.85,0.7786259541984732
PRJEB6070,"PRJEB10878,PRJEB12449,PRJEB27928,PRJEB7774,PRJNA447983",1803,0.6617773943054358,0.5641025641025641,0.6626506024096386,0.5789473684210527,0.6179775280898876
PRJEB7774,"PRJEB10878,PRJEB12449,PRJEB27928,PRJEB6070,PRJNA447983",1803,0.7904107174334566,0.6493506493506493,0.8545454545454545,0.5053763440860215,0.6351351351351351
PRJNA447983,"PRJEB10878,PRJEB12449,PRJEB27928,PRJEB6070,PRJEB7774",1803,0.8973214285714286,0.8166666666666667,0.8181818181818182,0.84375,0.8307692307692308
