train_dataset,test_dataset,n_common_features,overlap_pct,auc,accuracy,precision,recall,f1
PRJEB10878,PRJEB12449,2186,66.56516443361754,0.7579575596816975,0.6727272727272727,0.7222222222222222,0.5,0.5909090909090909
PRJEB10878,PRJEB27928,2245,68.0922050348802,0.8984615384615384,0.824,0.9318181818181818,0.6833333333333333,0.7884615384615384
PRJEB10878,PRJEB6070,2327,65.25518788558608,0.6633304572907679,0.5641025641025641,0.7213114754098361,0.4631578947368421,0.5641025641025641
PRJEB10878,PRJEB7774,2248,66.9446098868374,0.7357659086902874,0.6428571428571429,0.8166666666666667,0.5268817204301075,0.6405228758169934
PRJEB10878,PRJNA447983,1998,65.78860717813632,0.8510044642857143,0.8166666666666667,0.8387096774193549,0.8125,0.8253968253968254
PRJEB12449,PRJEB10878,2186,66.56516443361754,0.7797797797797797,0.734375,0.7,0.9459459459459459,0.8045977011494253
PRJEB12449,PRJEB27928,2440,73.3173076923077,0.8707692307692307,0.752,0.8717948717948718,0.5666666666666667,0.6868686868686869
PRJEB12449,PRJEB6070,2544,71.16083916083916,0.6431406384814495,0.5641025641025641,0.7647058823529411,0.4105263157894737,0.5342465753424658
PRJEB12449,PRJEB7774,2414,70.62609713282622,0.7262471355543805,0.5974025974025974,0.803921568627451,0.44086021505376344,0.5694444444444444
PRJEB12449,PRJNA447983,2118,67.38784600699968,0.8035714285714285,0.75,0.9047619047619048,0.59375,0.7169811320754716
PRJEB27928,PRJEB10878,2245,68.0922050348802,0.9029029029029029,0.734375,0.6851851851851852,1.0,0.8131868131868132
PRJEB27928,PRJEB12449,2440,73.3173076923077,0.7871352785145889,0.6818181818181818,0.6231884057971014,0.8269230769230769,0.7107438016528925
PRJEB27928,PRJEB6070,2623,73.5145739910314,0.6395168248490078,0.6153846153846154,0.6605504587155964,0.7578947368421053,0.7058823529411765
PRJEB27928,PRJEB7774,2537,75.34897534897534,0.7715494447382338,0.6818181818181818,0.8235294117647058,0.6021505376344086,0.6956521739130435
PRJEB27928,PRJNA447983,2205,70.4923273657289,0.7912946428571429,0.6833333333333333,0.7096774193548387,0.6875,0.6984126984126984
PRJEB6070,PRJEB10878,2327,65.25518788558608,0.7114614614614615,0.6484375,0.6283185840707964,0.9594594594594594,0.7593582887700535
PRJEB6070,PRJEB12449,2544,71.16083916083916,0.611737400530504,0.4818181818181818,0.47572815533980584,0.9423076923076923,0.632258064516129
PRJEB6070,PRJEB27928,2623,73.5145739910314,0.7158974358974358,0.544,0.514018691588785,0.9166666666666666,0.6586826347305389
PRJEB6070,PRJEB7774,2634,72.74233637116818,0.6619072800987134,0.6103896103896104,0.6701030927835051,0.6989247311827957,0.6842105263157895
PRJEB6070,PRJNA447983,2267,66.34474685396546,0.7979910714285714,0.7,0.6666666666666666,0.875,0.7567567567567568
PRJEB7774,PRJEB10878,2248,66.9446098868374,0.8044294294294293,0.625,0.6083333333333333,0.9864864864864865,0.7525773195876289
PRJEB7774,PRJEB12449,2414,70.62609713282622,0.7259615384615385,0.4727272727272727,0.4727272727272727,1.0,0.6419753086419753
PRJEB7774,PRJEB27928,2537,75.34897534897534,0.8646153846153847,0.52,0.5,1.0,0.6666666666666666
PRJEB7774,PRJEB6070,2634,72.74233637116818,0.7035375323554788,0.6282051282051282,0.6293706293706294,0.9473684210526315,0.7563025210084033
PRJEB7774,PRJNA447983,2183,67.92159303049161,0.8694196428571429,0.7333333333333333,0.7105263157894737,0.84375,0.7714285714285715
PRJNA447983,PRJEB10878,1998,65.78860717813632,0.8611111111111112,0.765625,0.8928571428571429,0.6756756756756757,0.7692307692307693
PRJNA447983,PRJEB12449,2118,67.38784600699968,0.6555039787798409,0.6272727272727273,0.7037037037037037,0.36538461538461536,0.4810126582278481
PRJNA447983,PRJEB27928,2205,70.4923273657289,0.8058974358974359,0.736,0.9354838709677419,0.48333333333333334,0.6373626373626373
PRJNA447983,PRJEB6070,2267,66.34474685396546,0.5903364969801552,0.532051282051282,0.6896551724137931,0.42105263157894735,0.5228758169934641
PRJNA447983,PRJEB7774,2183,67.92159303049161,0.7296844702979024,0.6558441558441559,0.8333333333333334,0.5376344086021505,0.6535947712418301
