train_dataset,test_dataset,n_common_features,overlap_pct,auc,accuracy,precision,recall,f1
PRJNA489760,PRJNA554111,255,38.93129770992366,0.526500811249324,0.5116279069767442,0.5111111111111111,0.5348837209302325,0.5227272727272727
PRJNA489760,PRJNA633959,256,35.45706371191136,0.738943661971831,0.6374269005847953,0.8166666666666667,0.49,0.6125
PRJNA554111,PRJNA489760,255,38.93129770992366,0.4583333333333333,0.45,0.47368421052631576,0.9,0.6206896551724138
PRJNA554111,PRJNA633959,386,51.60427807486631,0.6356338028169014,0.6198830409356725,0.6129032258064516,0.95,0.7450980392156863
PRJNA633959,PRJNA489760,256,35.45706371191136,0.6788888888888889,0.4666666666666667,0.48214285714285715,0.9,0.627906976744186
PRJNA633959,PRJNA554111,386,51.60427807486631,0.49378042184964843,0.45348837209302323,0.46551724137931033,0.627906976744186,0.5346534653465347
