protocol_1,protocol_2,n_1,n_2,mean_1,mean_2,u_statistic,p_value
LODO,Internal Validation,48,49,0.6859051242708333,0.8060204480612245,653.0,0.00016322556837130656
LODO,Within Learning,48,48,0.6859051242708333,0.8054904614166668,680.0,0.0005461647293320307
Internal Validation,Within Learning,49,48,0.8060204480612245,0.8054904614166668,1093.0,0.5514323635542979
