microbe,status
k__Bacteria.307,dropped
k__Bacteria.308,dropped
k__Bacteria.309,dropped
k__Bacteria.310,dropped
k__Bacteria.311,dropped
k__Bacteria.312,dropped
k__Bacteria.313,dropped
k__Bacteria.314,dropped
k__Bacteria.315,dropped
k__Bacteria.316,dropped
k__Bacteria.317,dropped
k__Bacteria.318,dropped
k__Bacteria.319,dropped
k__Bacteria.320,dropped
k__Bacteria.321,dropped
k__Bacteria.322,dropped
k__Bacteria.323,dropped
k__Bacteria.324,dropped
k__Bacteria.325,dropped
k__Bacteria.326,dropped
k__Bacteria.327,dropped
k__Bacteria.328,dropped
k__Bacteria.329,dropped
k__Bacteria.330,dropped
k__Bacteria.331,dropped
k__Bacteria.332,dropped
k__Bacteria.333,dropped
k__Bacteria.334,dropped
k__Bacteria.335,dropped
k__Bacteria.336,dropped
k__Bacteria.337,dropped
k__Bacteria.338,dropped
k__Bacteria.339,dropped
k__Bacteria.340,dropped
k__Bacteria.341,dropped
k__Bacteria.342,dropped
k__Bacteria.343,dropped
k__Bacteria.344,dropped
k__Bacteria.345,dropped
k__Bacteria.346,dropped
k__Bacteria.347,dropped
k__Bacteria.348,dropped
k__Bacteria.349,dropped
k__Bacteria.350,dropped
k__Bacteria.351,dropped
k__Bacteria.352,dropped
k__Bacteria.353,dropped
k__Bacteria.354,dropped
k__Bacteria.355,dropped
k__Bacteria.356,dropped
k__Bacteria.357,dropped
k__Bacteria.358,dropped
k__Bacteria.359,dropped
k__Bacteria.360,dropped
k__Bacteria.361,dropped
k__Bacteria.362,dropped
k__Bacteria.363,dropped
k__Bacteria.364,dropped
k__Bacteria.365,dropped
k__Bacteria.366,dropped
k__Bacteria.367,dropped
k__Bacteria.368,dropped
k__Bacteria.369,dropped
k__Bacteria.370,dropped
k__Bacteria.371,dropped
k__Bacteria.372,dropped
k__Bacteria.373,dropped
k__Bacteria.374,dropped
k__Bacteria.375,dropped
k__Bacteria.376,dropped
k__Bacteria.377,dropped
k__Bacteria.378,dropped
k__Bacteria.379,dropped
k__Bacteria.380,dropped
k__Bacteria.381,dropped
k__Bacteria.382,dropped
k__Bacteria.383,dropped
k__Bacteria.384,dropped
k__Bacteria.385,dropped
k__Bacteria.386,dropped
k__Bacteria.387,dropped
k__Bacteria.388,dropped
k__Bacteria.389,dropped
k__Bacteria.390,dropped
k__Bacteria.391,dropped
k__Bacteria.392,dropped
k__Bacteria.393,dropped
k__Bacteria.394,dropped
k__Bacteria.395,dropped
k__Bacteria.396,dropped
k__Bacteria.397,dropped
k__Bacteria.398,dropped
k__Bacteria.399,dropped
k__Bacteria.400,dropped
k__Bacteria.401,dropped
k__Bacteria.402,dropped
k__Bacteria.403,dropped
k__Bacteria.404,dropped
k__Bacteria.405,dropped
k__Bacteria.406,dropped
k__Bacteria.407,dropped
k__Bacteria.408,dropped
k__Bacteria.409,dropped
k__Bacteria.410,dropped
k__Bacteria.411,dropped
k__Bacteria.412,dropped
k__Bacteria.413,dropped
k__Bacteria.414,dropped
k__Bacteria.415,dropped
k__Bacteria.416,dropped
k__Bacteria.417,dropped
k__Bacteria.418,dropped
k__Bacteria.419,dropped
k__Bacteria.420,dropped
k__Bacteria.421,dropped
k__Bacteria.422,dropped
k__Bacteria.423,dropped
k__Bacteria.424,dropped
k__Bacteria.425,dropped
k__Bacteria.426,dropped
k__Bacteria.427,dropped
k__Bacteria.428,dropped
k__Bacteria.429,dropped
k__Bacteria.430,dropped
k__Bacteria.431,dropped
k__Bacteria.432,dropped
k__Bacteria.433,dropped
k__Bacteria.434,dropped
k__Bacteria.435,dropped
k__Bacteria.436,dropped
k__Bacteria.437,dropped
k__Bacteria.438,dropped
k__Bacteria.439,dropped
k__Bacteria.440,dropped
k__Bacteria.441,dropped
k__Bacteria.442,dropped
k__Bacteria.443,dropped
k__Bacteria.444,dropped
k__Bacteria.445,dropped
k__Bacteria.446,dropped
k__Bacteria.447,dropped
k__Bacteria.448,dropped
k__Bacteria.449,dropped
k__Bacteria.450,dropped
k__Bacteria.451,dropped
k__Bacteria.452,dropped
k__Bacteria.453,dropped
k__Bacteria.454,dropped
k__Bacteria.455,dropped
k__Bacteria.456,dropped
k__Bacteria.457,dropped
k__Bacteria.458,dropped
k__Bacteria.459,dropped
k__Bacteria.460,dropped
k__Bacteria.461,dropped
k__Bacteria.462,dropped
k__Bacteria.463,dropped
k__Bacteria.464,dropped
k__Bacteria.465,dropped
k__Bacteria.466,dropped
k__Bacteria.467,dropped
k__Bacteria.468,dropped
k__Bacteria.469,dropped
k__Bacteria.470,dropped
k__Bacteria.471,dropped
k__Bacteria.472,dropped
k__Bacteria.473,dropped
k__Bacteria.474,dropped
k__Bacteria.475,dropped
k__Bacteria.476,dropped
k__Bacteria.477,dropped
k__Bacteria.478,dropped
k__Bacteria.479,dropped
k__Bacteria.480,dropped
k__Bacteria.481,dropped
k__Bacteria.482,dropped
k__Bacteria.483,dropped
k__Bacteria.484,dropped
k__Bacteria.485,dropped
k__Bacteria.486,dropped
k__Bacteria.487,dropped
k__Bacteria.488,dropped
k__Bacteria.489,dropped
k__Bacteria.490,dropped
k__Bacteria.491,dropped
k__Bacteria.492,dropped
k__Bacteria.493,dropped
k__Bacteria.494,dropped
k__Bacteria.495,dropped
k__Bacteria.496,dropped
k__Bacteria.497,dropped
k__Bacteria.498,dropped
k__Bacteria.499,dropped
k__Bacteria.500,dropped
k__Bacteria.501,dropped
k__Bacteria.502,dropped
k__Bacteria.503,dropped
k__Bacteria.504,dropped
k__Bacteria.505,dropped
k__Bacteria.506,dropped
k__Bacteria.507,dropped
k__Bacteria.508,dropped
k__Bacteria.509,dropped
k__Bacteria.510,dropped
k__Bacteria.511,dropped
k__Bacteria.512,dropped
k__Bacteria.513,dropped
k__Bacteria.514,dropped
k__Bacteria.515,dropped
k__Bacteria.64,dropped
k__Bacteria;_p__;_c__;_o__;_f__;_g__;_s__,dropped
k__Bacteria;_p__;_c__;_o__;_f__;_g__;_s__.1,dropped
k__Bacteria;_p__;_c__;_o__;_f__;_g__;_s__.2,dropped
k__Bacteria;_p__;_c__;_o__;_f__;_g__;_s__.3,dropped
k__Bacteria;_p__;_c__;_o__;_f__;_g__;_s__.4,dropped
k__Bacteria;_p__;_c__;_o__;_f__;_g__;_s__.5,dropped
k__Bacteria;_p__Acidobacteria;_c__Acidobacteriia;_o__Acidobacteriales;_f__Koribacteraceae;_g__;_s__,dropped
k__Bacteria;_p__Acidobacteria;_c___Chloracidobacteria_;_o__RB41;_f__;_g__;_s__,dropped
k__Bacteria;_p__Acidobacteria;_c___Chloracidobacteria_;_o__RB41;_f__Ellin6075;_g__;_s__,dropped
k__Bacteria;_p__Acidobacteria;_c___Chloracidobacteria_;_o__RB41;_f__Ellin6075;_g__;_s__.1,dropped
k__Bacteria;_p__Acidobacteria;_c___Chloracidobacteria_;_o__RB41;_f__Ellin6075;_g__;_s__.2,dropped
k__Bacteria;_p__Actinobacteria,dropped
k__Bacteria;_p__Actinobacteria;_c__Acidimicrobiia;_o__Acidimicrobiales;_f__OCS155;_g__;_s__,dropped
k__Bacteria;_p__Actinobacteria;_c__Actinobacteria;_o__Actinomycetales.1,dropped
k__Bacteria;_p__Actinobacteria;_c__Actinobacteria;_o__Actinomycetales;_f__Actinomycetaceae;_g__Actinomyces;_s__.4,dropped
k__Bacteria;_p__Actinobacteria;_c__Actinobacteria;_o__Actinomycetales;_f__Actinomycetaceae;_g__Actinomyces;_s__.5,dropped
k__Bacteria;_p__Actinobacteria;_c__Actinobacteria;_o__Actinomycetales;_f__Brevibacteriaceae;_g__Brevibacterium,dropped
k__Bacteria;_p__Actinobacteria;_c__Actinobacteria;_o__Actinomycetales;_f__Brevibacteriaceae;_g__Brevibacterium.1,dropped
k__Bacteria;_p__Actinobacteria;_c__Actinobacteria;_o__Actinomycetales;_f__Corynebacteriaceae;_g__Corynebacterium;_s__.1,dropped
k__Bacteria;_p__Actinobacteria;_c__Actinobacteria;_o__Actinomycetales;_f__Corynebacteriaceae;_g__Corynebacterium;_s__.2,dropped
k__Bacteria;_p__Actinobacteria;_c__Actinobacteria;_o__Actinomycetales;_f__Corynebacteriaceae;_g__Corynebacterium;_s__durum,dropped
k__Bacteria;_p__Actinobacteria;_c__Actinobacteria;_o__Actinomycetales;_f__Corynebacteriaceae;_g__Corynebacterium;_s__simulans,dropped
k__Bacteria;_p__Actinobacteria;_c__Actinobacteria;_o__Actinomycetales;_f__Dermabacteraceae;_g__Brachybacterium,dropped
k__Bacteria;_p__Actinobacteria;_c__Actinobacteria;_o__Actinomycetales;_f__Intrasporangiaceae,dropped
k__Bacteria;_p__Actinobacteria;_c__Actinobacteria;_o__Actinomycetales;_f__Microbacteriaceae.1,dropped
k__Bacteria;_p__Actinobacteria;_c__Actinobacteria;_o__Actinomycetales;_f__Microbacteriaceae;_g__Leucobacter;_s__,dropped
k__Bacteria;_p__Actinobacteria;_c__Actinobacteria;_o__Actinomycetales;_f__Microbacteriaceae;_g__Microbacterium,dropped
k__Bacteria;_p__Actinobacteria;_c__Actinobacteria;_o__Actinomycetales;_f__Micrococcaceae,dropped
k__Bacteria;_p__Actinobacteria;_c__Actinobacteria;_o__Actinomycetales;_f__Micrococcaceae;_g__Arthrobacter,dropped
k__Bacteria;_p__Actinobacteria;_c__Actinobacteria;_o__Actinomycetales;_f__Micrococcaceae;_g__Micrococcus,dropped
k__Bacteria;_p__Actinobacteria;_c__Actinobacteria;_o__Actinomycetales;_f__Micrococcaceae;_g__Nesterenkonia;_s__,dropped
k__Bacteria;_p__Actinobacteria;_c__Actinobacteria;_o__Actinomycetales;_f__Micrococcaceae;_g__Rothia.1,dropped
k__Bacteria;_p__Actinobacteria;_c__Actinobacteria;_o__Actinomycetales;_f__Micrococcaceae;_g__Rothia;_s__dentocariosa,dropped
k__Bacteria;_p__Actinobacteria;_c__Actinobacteria;_o__Actinomycetales;_f__Mycobacteriaceae;_g__Mycobacterium,dropped
k__Bacteria;_p__Actinobacteria;_c__Actinobacteria;_o__Actinomycetales;_f__Nocardiaceae;_g__Rhodococcus;_s__,dropped
k__Bacteria;_p__Actinobacteria;_c__Actinobacteria;_o__Actinomycetales;_f__Propionibacteriaceae;_g__;_s__,dropped
k__Bacteria;_p__Actinobacteria;_c__Actinobacteria;_o__Actinomycetales;_f__Propionibacteriaceae;_g__Propionibacterium;_s__acnes,dropped
k__Bacteria;_p__Actinobacteria;_c__Actinobacteria;_o__Actinomycetales;_f__Propionibacteriaceae;_g__Propionibacterium;_s__granulosum,dropped
k__Bacteria;_p__Actinobacteria;_c__Actinobacteria;_o__Actinomycetales;_f__Pseudonocardiaceae;_g__;_s__,dropped
k__Bacteria;_p__Actinobacteria;_c__Actinobacteria;_o__Actinomycetales;_f__Pseudonocardiaceae;_g__;_s__.1,dropped
k__Bacteria;_p__Actinobacteria;_c__Actinobacteria;_o__Actinomycetales;_f__Streptomycetaceae,dropped
k__Bacteria;_p__Actinobacteria;_c__Actinobacteria;_o__Bifidobacteriales;_f__Bifidobacteriaceae;_g__Bifidobacterium.2,dropped
k__Bacteria;_p__Actinobacteria;_c__Actinobacteria;_o__Bifidobacteriales;_f__Bifidobacteriaceae;_g__Bifidobacterium.3,dropped
k__Bacteria;_p__Actinobacteria;_c__Actinobacteria;_o__Bifidobacteriales;_f__Bifidobacteriaceae;_g__Bifidobacterium.4,dropped
k__Bacteria;_p__Actinobacteria;_c__Actinobacteria;_o__Bifidobacteriales;_f__Bifidobacteriaceae;_g__Bifidobacterium.5,dropped
k__Bacteria;_p__Actinobacteria;_c__Actinobacteria;_o__Bifidobacteriales;_f__Bifidobacteriaceae;_g__Bifidobacterium;_s__.1,dropped
k__Bacteria;_p__Actinobacteria;_c__Actinobacteria;_o__Bifidobacteriales;_f__Bifidobacteriaceae;_g__Bifidobacterium;_s__longum.1,dropped
k__Bacteria;_p__Actinobacteria;_c__Coriobacteriia;_o__Coriobacteriales;_f__Coriobacteriaceae.2,dropped
k__Bacteria;_p__Actinobacteria;_c__Coriobacteriia;_o__Coriobacteriales;_f__Coriobacteriaceae;_g__;_s__.10,dropped
k__Bacteria;_p__Actinobacteria;_c__Coriobacteriia;_o__Coriobacteriales;_f__Coriobacteriaceae;_g__;_s__.11,dropped
k__Bacteria;_p__Actinobacteria;_c__Coriobacteriia;_o__Coriobacteriales;_f__Coriobacteriaceae;_g__;_s__.5,dropped
k__Bacteria;_p__Actinobacteria;_c__Coriobacteriia;_o__Coriobacteriales;_f__Coriobacteriaceae;_g__;_s__.6,dropped
k__Bacteria;_p__Actinobacteria;_c__Coriobacteriia;_o__Coriobacteriales;_f__Coriobacteriaceae;_g__;_s__.7,dropped
k__Bacteria;_p__Actinobacteria;_c__Coriobacteriia;_o__Coriobacteriales;_f__Coriobacteriaceae;_g__;_s__.8,dropped
k__Bacteria;_p__Actinobacteria;_c__Coriobacteriia;_o__Coriobacteriales;_f__Coriobacteriaceae;_g__;_s__.9,dropped
k__Bacteria;_p__Actinobacteria;_c__Coriobacteriia;_o__Coriobacteriales;_f__Coriobacteriaceae;_g__Adlercreutzia;_s__.2,dropped
k__Bacteria;_p__Actinobacteria;_c__Coriobacteriia;_o__Coriobacteriales;_f__Coriobacteriaceae;_g__Collinsella;_s__.2,dropped
k__Bacteria;_p__Actinobacteria;_c__Coriobacteriia;_o__Coriobacteriales;_f__Coriobacteriaceae;_g__Collinsella;_s__aerofaciens.1,dropped
