microbe,status
k__Archaea_p__Euryarchaeota_c__Methanobacteria_o__Methanobacteriales_f__Methanobacteriaceae_g__Methanosphaera,dropped
k__Archaea_p__Euryarchaeota_c__Methanobacteria_o__Methanobacteriales_f__Methanobacteriaceae_g__Methanosphaera_s__Methanosphaera_stadtmanae,dropped
k__Archaea_p__Euryarchaeota_c__Thermoplasmata,dropped
k__Archaea_p__Euryarchaeota_c__Thermoplasmata_o__Methanomassiliicoccales,dropped
k__Archaea_p__Euryarchaeota_c__Thermoplasmata_o__Methanomassiliicoccales_f__Methanomassiliicoccaceae,dropped
k__Archaea_p__Euryarchaeota_c__Thermoplasmata_o__Methanomassiliicoccales_f__Methanomassiliicoccaceae_g__Candidatus_Methanomethylophilus,dropped
k__Archaea_p__Euryarchaeota_c__Thermoplasmata_o__Methanomassiliicoccales_f__Methanomassiliicoccaceae_g__Candidatus_Methanomethylophilus_s__Candidatus_Methanomethylophilus_alvus,dropped
k__Archaea_p__Euryarchaeota_c__Thermoplasmata_o__Methanomassiliicoccales_f__Methanomassiliicoccaceae_g__Methanomassiliicoccus,dropped
k__Archaea_p__Euryarchaeota_c__Thermoplasmata_o__Methanomassiliicoccales_f__Methanomassiliicoccaceae_g__Methanomassiliicoccus_s__Candidatus_Methanomassiliicoccus_intestinalis,dropped
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinobacteria_unclassified;f__Actinobacteria_unclassified;g__GGB39918,dropped
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinobacteria_unclassified;f__Actinobacteria_unclassified;g__GGB39918;s__GGB39918_SGB47522,dropped
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinobaculum,dropped
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinobaculum;s__Actinobaculum_massiliense,dropped
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinobaculum;s__Actinobaculum_sp_oral_taxon_183,dropped
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_SGB15893,dropped
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_dentalis,dropped
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_gerencseriae,dropped
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_graevenitzii,dropped
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_israelii,dropped
