protocol_1,protocol_2,n_1,n_2,mean_1,mean_2,u_statistic,p_value
LODO,Internal Validation,48,49,0.6941352949791666,0.7999047211020409,678.0,0.0003311232402081144
LODO,Within Learning,48,48,0.6941352949791666,0.830353928125,552.0,1.1136683317273426e-05
Internal Validation,Within Learning,49,48,0.7999047211020409,0.830353928125,990.5,0.1818252606924109
