protocol_1,protocol_2,n_1,n_2,mean_1,mean_2,u_statistic,p_value
LODO,Internal Validation,47,48,0.7059674438548518,0.8074912482975117,701.0,0.0014998467609195199
LODO,Within Learning,47,47,0.7059674438548518,0.807124982736347,692.0,0.0018276386880478612
Internal Validation,Within Learning,48,47,0.8074912482975117,0.807124982736347,1047.5,0.5512767749321381
