train_dataset,test_dataset,n_common_features,overlap_pct,auc,accuracy,precision,recall,f1
PRJEB27306,PRJNA453621,264,28.29581993569132,0.5407599393613379,0.4965034965034965,0.4982456140350877,0.993006993006993,0.6635514018691588
PRJEB27306,PRJNA687773,220,42.226487523992326,0.4428904428904429,0.5301204819277109,0.0,0.0,0.0
PRJNA453621,PRJEB27306,264,28.29581993569132,0.4575866188769414,0.3620689655172414,0.3611111111111111,0.48148148148148145,0.4126984126984127
PRJNA453621,PRJNA687773,263,30.19517795637199,0.539044289044289,0.40963855421686746,0.4305555555555556,0.7948717948717948,0.5585585585585585
PRJNA687773,PRJEB27306,220,42.226487523992326,0.5,0.5344827586206896,0.0,0.0,0.0
PRJNA687773,PRJNA453621,263,30.19517795637199,0.6107633625116143,0.5104895104895105,0.5714285714285714,0.08391608391608392,0.14634146341463414
