test_dataset,train_datasets,n_common_features,auc,accuracy,precision,recall,f1
PRJEB27306,"PRJNA453621,PRJNA687773",187,0.45280764635603343,0.46551724137931033,0.3,0.1111111111111111,0.16216216216216217
PRJNA453621,"PRJEB27306,PRJNA687773",187,0.4943518020441098,0.5,0.0,0.0,0.0
PRJNA687773,"PRJEB27306,PRJNA453621",187,0.5897435897435898,0.5421686746987951,1.0,0.02564102564102564,0.05
